url,img_url,brand,title,from,to
https://www.dafiti.com.br/Tenis-Sapatenis-Casual-JL-SHOES-Branco-5697315.html,https://t-static.dafiti.com.br/Q-ouPFClvZ-HUhtWzCNP8bA8k70=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-sapat%25c3%25aanis-casual-jl-shoes-branco-7368-5137965-1-product.jpg,JL SHOES,Tênis Sapatênis Casual JL SHOES Branco,"R$ 139,90","R$ 69,90"
https://www.dafiti.com.br/Tenis-Meia-It-Shoes-Gigil-Calce-Facil-Preto-5473705.html,https://t-static.dafiti.com.br/E462W0XwzAcVLRa5DFSFKU1gnyY=/fit-in/333x483/static.dafiti.com.br/p/gigil-t%25c3%25aanis-meia-it-shoes-gigil-calce-f%25c3%25a1cil-preto-5438-5073745-1-product.jpg,Gigil,Tênis Meia It Shoes Gigil Calce Fácil Preto,"R$ 119,99","R$ 65,99"
https://www.dafiti.com.br/Tenis-Slip-On-Casual-Forrado-JL-Shoes-JL26-Onca-5978903.html,https://t-static.dafiti.com.br/0wVQL5fcrYWsHz3lVMOoET3l7dA=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-slip-on-casual-forrado-jl-shoes-jl26-on%25c3%25a7a-9755-3098795-1-product.jpg,JL SHOES,Tênis Slip On Casual Forrado JL Shoes JL26 Onça,"R$ 159,90","R$ 69,90"
https://www.dafiti.com.br/Tenis-Jogging-DAFITI-SHOES-Recortes-Preto-5548835.html,https://t-static.dafiti.com.br/scjY8S3J0rJEEu4unk8redAA8oA=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-jogging-dafiti-shoes-recortes-preto-8690-5388455-1-product.jpg,DAFITI SHOES,Tênis Jogging DAFITI SHOES Recortes Preto,"R$ 89,90","R$ 79,99"
https://www.dafiti.com.br/Tenis-Meia-Sneaker-It-Shoes-Gigil-Calce-Facil-Nude-5785879.html,https://t-static.dafiti.com.br/0j8-CeCyDAP8ZnlGC-VvFsIoNPU=/fit-in/333x483/static.dafiti.com.br/p/gigil-t%25c3%25aanis-meia-sneaker-it-shoes-gigil-calce-f%25c3%25a1cil-nude-5591-9785875-1-product.jpg,Gigil,Tênis Meia Sneaker It Shoes Gigil Calce ...,"R$ 119,99","R$ 65,99"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Textil-Preto-5907061.html,https://t-static.dafiti.com.br/sk2VaKZerMXB1KNSCEM0PXYNwm4=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-t%25c3%25aaxtil-preto-4717-1607095-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Têxtil Preto,"R$ 89,90","R$ 39,99"
https://www.dafiti.com.br/Tenis-Sapatenis-Casual-JL-SHOES-Branco-6505819.html,https://t-static.dafiti.com.br/7Lfs80u4WcNZygydVu3OMmECKdc=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-sapat%25c3%25aanis-casual-jl-shoes-branco-3758-9185056-1-product.jpg,JL SHOES,Tênis Sapatênis Casual JL SHOES Branco,"R$ 139,90","R$ 69,90"
https://www.dafiti.com.br/Tenis-DAFITI-SHOES-Recorte-Preto-5907843.html,https://t-static.dafiti.com.br/MzltTnlRb1apg1oLIqU_5z2OKL8=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-dafiti-shoes-recorte-preto-4462-3487095-1-product.jpg,DAFITI SHOES,Tênis DAFITI SHOES Recorte Preto,"R$ 99,90",
https://www.dafiti.com.br/Tenis-Casual-Macio-Animal-Print-JL-SHOES-JL12-Branco-Onca-5986859.html,https://t-static.dafiti.com.br/lEbCJSRqZ9xco-ngFfWfSyXfJsI=/fit-in/333x483/static.dafiti.com.br/p/jl-shoes-t%25c3%25aanis-casual-macio-animal-print-jl-shoes-jl12-branco-on%25c3%25a7a-8817-9586895-1-product.jpg,JL SHOES,Tênis Casual Macio Animal Print JL SHOES...,"R$ 189,90","R$ 79,90"
https://www.dafiti.com.br/Tenis-Jogging-DAFITI-SHOES-Recortes-Preto%2FRosa-5548811.html,https://t-static.dafiti.com.br/X9UdgsdPc725iIqxezYeRbLpDk4=/fit-in/333x483/static.dafiti.com.br/p/dafiti-shoes-t%25c3%25aanis-jogging-dafiti-shoes-recortes-preto%252frosa-4921-1188455-1-product.jpg,DAFITI SHOES,Tênis Jogging DAFITI SHOES Recortes Preto/Rosa,"R$ 89,90","R$ 54,99"
